Part Name	Price (EGP)	Link
25Q32	50	https://makerselectronics.com/product/25q32-flash-memory-32mbit-4mb-soic-8-smd/
TDA2003	12	https://makerselectronics.com/product/tda2003-car-radio-audio-amplifier-to220-5/
